,trailingEps,forwardEps,enterpriseToRevenue,ebitda,returnOnAssets,returnOnEquity,debtToEquity,heldPercentInstitutions,priceToBook,enterpriseValue,marketCap,operatingCashflow,averageVolume,trailingPE,forwardPE,HistoricalReturn,HistoricalReturnRisk,PricePerShare
3PL.AX,-0.054,0.04,3.553,4308000.0,0.0030899998,-0.0029,1.114,0.32034,1.932953,345607040.0,374635840.0,12764000.0,6072.0,,,0.03990415293285687,0.3619571280064037,
A2B.AX,-0.157,,1.1,-21611000.0,-0.10844,-0.2794,30.194,0.56249,1.5236052,138773296.0,129111024.0,-6244000.0,38848.0,,,0.07552610403486429,0.238921088834684,1.065000057220459
ABP.AX,0.61,0.19,10.762,221550000.0,0.02885,0.16153999,48.82,0.12156,0.6984451,3951218688.0,2448622848.0,158263008.0,1118664.0,4.49180329432253,14.421052681772332,0.22013725682724863,0.24686216922280846,2.740000009536743
AX1.AX,0.06,0.14,1.279,104494464.0,0.034140002,0.072399996,136.368,0.11807,2.0073893,1444672128.0,883243200.0,140346000.0,678404.0,27.16666658719381,11.642857108797346,0.43872785722162894,0.6231719901191932,1.6299999952316284
ADH.AX,0.26,0.32,1.179,79112000.0,0.08604,0.24764,155.236,0.1442,1.904762,665784000.0,376895200.0,61168000.0,505771.0,8.461538644937368,6.875000149011612,0.25093511147680375,0.34770909854337895,2.200000047683716
ABC.AX,0.16,0.16,1.086,177500000.0,0.02576,0.085880004,55.608,0.16805,0.89639413,1769100032.0,1158662400.0,186400000.0,1994735.0,11.031249910593033,11.031249910593033,0.06601847588629926,0.222812370358754,1.7649999856948853
AML.AX,,0.0,,-3025000.0,-0.0234,-0.05389,40.209,0.49041998,0.47826087,56065960.0,36181200.0,-3117000.0,824126.0,,inf,0.45096143721646753,1.8866682573977958,0.032999999821186066
APT.AX,,,,,,,,,,,,,,,,,,
AGL.AX,1.31,0.96,0.591,2136000000.0,0.05836,0.14189,44.177,0.24165002,0.8094157,7812968960.0,5274336768.0,1227000064.0,2510815.0,5.984732940906786,8.166666825612387,0.057542295276096084,0.2693584782079718,7.840000152587891
AGI.AX,0.03,0.08,1.242,26672000.0,0.01833,0.039219998,4.494,0.16149999,1.0551949,273524416.0,328374144.0,51336000.0,37431.0,32.5000007947286,12.187500298023224,0.12063184344360324,0.6520521714123863,0.9750000238418579
